size_m2,rooms,house_age,distance_km,price
109.8,7,34.2,15.08,455004
163.9,6,38.3,8.37,620471
94.2,6,31.6,1.34,472116
140.3,7,34.0,6.76,559068
109.0,3,22.1,15.57,385605
114.5,2,34.7,3.37,382853
112.3,6,17.4,5.52,458804
106.2,2,23.1,4.56,356330
52.1,5,18.8,4.22,269940
98.1,7,55.5,8.31,390006
105.5,4,45.0,7.58,351865
139.9,5,23.9,9.86,553212
158.2,7,17.3,12.52,635289
138.0,4,1,6.19,491159
81.3,2,15.4,12.26,268594
112.7,7,19.5,6.08,553258
101.8,7,7.2,3.52,538216
164.1,3,27.8,4.42,546756
126.5,7,39.5,8.06,551705
131.3,5,19.7,5.37,542243
147.7,6,39.5,7.26,600135
67.6,3,54.0,9.45,250852
123.3,5,38.0,9.24,435904
115.5,6,34.9,4.48,520170
178.6,6,17.0,13.55,629752
117.2,7,5.2,9.18,481257
104.9,7,30.0,5.89,484610
162.9,2,23.1,7.3,555610
142.9,2,25.0,13.24,435135
144.7,5,30.3,9.82,553201
98.1,2,39.0,11.47,340936
165.3,4,22.1,9.59,590992
102.8,7,36.8,8.46,449170
166.7,3,18.3,4.74,512076
121.7,7,9.9,12.03,466399
117.3,3,42.2,6.25,432516
74.3,7,19.5,9.23,445433
197.9,3,21.7,10.73,594429
127.0,4,46.5,6.56,332474
131.3,3,5.3,4.46,411476
40,4,38.8,11.66,164544
125.3,3,37.7,5.59,481802
174.7,2,22.7,2.23,613114
125.2,7,17.8,10.89,546827
113.6,3,13.3,2.8,473757
202.7,7,47.6,4.79,771719
180.7,3,15.5,8.94,618349
82.3,7,14.1,12.54,446812
178.1,4,21.7,10.81,655987
191.0,7,29.3,5.12,692851
159.0,3,17.2,9.27,525565
119.6,3,40.0,8.31,373939
47.1,2,15.6,11.16,166744
68.9,6,31.2,0.5,409496
70.7,6,24.8,0.5,374564
129.1,3,1,10.12,515447
112.1,4,2.3,5.97,418780
51.2,6,28.4,10.44,276321
137.5,5,27.1,1.74,525679
156.9,6,14.8,13.38,576926
130.1,6,38.8,3.54,516530
177.9,4,15.0,15.48,558813
132.8,5,43.7,11.12,500177
146.6,2,30.9,8.79,511990
169.8,7,46.7,5.63,615294
119.6,5,34.8,9.88,544563
82.9,7,37.4,9.18,357291
76.2,4,34.0,4.69,342201
152.0,4,34.4,3.94,540539
155.7,6,26.8,5.13,706818
