PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
1,3,male,28.441577938052724,1,2,71.06,C,1
2,1,male,,1,0,49.77,C,0
3,3,male,37.44486708561217,0,3,6.39,Q,1
4,1,female,9.806622942318018,0,3,16.99,S,0
5,3,male,41.863059926872005,0,0,19.93,Q,1
6,1,male,26.521142896502944,0,0,91.98,Q,0
7,3,male,,0,3,92.66,S,1
8,3,female,,0,0,28.65,C,0
9,3,male,22.134833707323573,0,0,25.05,C,1
10,2,male,41.32226533167039,4,0,31.86,C,1
11,1,male,,0,3,19.67,S,0
12,3,male,26.124941347429385,0,0,5.37,C,1
13,3,female,37.781933752877784,0,2,33.5,S,0
14,3,male,43.6087626371386,1,0,91.68,C,1
15,1,female,49.11965286605848,0,2,10.9,S,0
16,3,male,,0,0,0.0,Q,0
17,2,male,8.033980124539784,0,3,38.14,S,1
18,3,male,32.01341230813797,0,0,76.91,C,1
19,1,female,33.4118425736101,1,0,41.12,C,0
20,3,male,,0,0,0.0,S,1
21,3,female,36.34130326292356,0,2,48.64,C,0
22,2,male,28.1064106953564,0,2,72.38,S,1
23,3,female,61.37321185285795,0,0,36.74,C,0
24,1,male,40.944075182409364,0,0,47.83,S,0
25,3,female,36.61483798251648,1,0,70.8,S,1
26,3,male,34.92920967273029,0,0,35.97,S,1
27,1,male,38.122578675676706,1,0,35.65,S,0
28,3,male,27.82016382491661,1,0,28.34,Q,0
29,1,male,,0,0,49.03,S,0
30,3,male,44.52598691627925,1,3,97.55,S,1
31,3,male,,0,0,0.0,S,1
32,3,female,35.70749394041404,0,2,90.75,S,1
33,2,male,54.03618822566767,0,1,51.15,S,0
34,1,male,52.49122152128861,2,0,6.48,C,1
35,2,female,37.94323127850928,0,0,0.0,C,0
36,3,male,24.1093615982492,2,3,38.05,S,0
37,1,female,14.023636968321451,2,1,110.3,Q,0
38,1,female,36.26228458743048,0,0,33.48,S,0
39,1,male,16.787254933036273,0,0,102.86,S,0
40,3,female,,4,0,102.77,C,0
41,3,male,16.83832013238672,1,0,27.78,S,1
42,3,male,25.60103500116268,0,0,1.53,S,1
43,2,female,27.764954875832338,0,0,25.1,Q,0
44,2,female,16.6702110925944,0,0,0.0,C,0
45,2,male,21.17478220723477,0,0,22.28,S,0
46,1,male,10.272267782848466,2,1,45.88,S,1
47,1,male,30.515030809499926,0,0,84.05,S,1
48,3,male,,1,1,93.8,C,1
49,1,female,25.534459289099246,2,0,48.92,S,0
50,3,male,58.06031257424852,1,0,30.48,S,0
51,3,female,19.29241586829925,1,1,53.68,S,0
52,2,male,27.51828217120551,0,0,73.29,C,0
53,3,male,15.35828147202792,0,0,70.58,S,1
54,3,female,,0,1,20.79,S,0
55,2,female,11.757662104857598,0,0,38.34,C,0
56,3,male,,1,0,78.99,S,1
57,1,male,,0,0,75.14,Q,0
58,2,female,,0,0,30.09,S,0
59,3,female,16.42371870607809,0,0,9.02,C,1
60,3,male,34.340142612712114,0,0,95.58,S,1
61,3,female,32.484652743095246,1,3,54.3,S,0
62,1,female,25.475439329506088,2,0,40.03,C,0
63,3,male,17.869978830381644,0,1,62.56,S,1
64,3,male,40.41600280491835,1,3,8.61,Q,0
65,3,male,9.145471186827688,2,1,69.15,C,0
66,1,male,,2,0,31.29,C,0
67,2,female,,3,0,27.0,S,0
68,3,female,20.10352594644361,0,0,22.34,S,0
69,3,male,15.537227156309745,0,1,43.9,Q,1
70,1,male,42.67800108218468,0,0,75.37,S,0
71,3,male,,0,0,63.51,C,1
72,2,female,,2,0,34.74,S,0
73,3,male,31.822512574425335,0,1,58.93,S,1
74,3,male,40.659375232930984,4,0,81.11,S,0
75,3,male,14.833288247468168,2,3,45.36,Q,1
76,3,female,39.0420447253008,1,0,43.38,C,1
77,1,male,20.343392878526167,1,1,36.16,S,0
78,3,female,15.440630423416252,0,0,18.78,S,0
79,3,male,36.05066018928391,1,0,72.22,C,0
80,3,female,,0,0,49.9,Q,0
81,1,female,39.420199889491805,4,1,16.33,Q,0
82,3,male,,1,0,0.0,S,1
83,2,male,16.700735027260166,1,0,0.0,S,0
84,3,male,25.12087451274021,0,0,74.36,S,1
85,3,male,35.0710295645437,1,1,76.27,C,1
86,3,male,27.724310538457814,1,0,35.53,C,1
87,3,male,60.8970108881405,0,1,46.78,S,0
88,3,male,49.9068550781807,1,0,0.0,S,0
89,3,female,25.93935189400711,3,0,102.28,S,0
90,2,male,,0,0,49.76,S,0
91,3,male,38.1398779033976,0,1,92.99,C,1
92,3,female,14.404357373811644,4,0,79.06,C,0
93,3,female,40.61104763516854,0,1,27.03,S,0
94,1,male,42.491481816081624,1,2,44.75,S,0
95,2,male,25.38495459923258,0,0,0.34,S,0
96,3,female,24.167005591938796,2,0,55.51,S,0
97,1,female,,0,0,78.01,S,0
98,1,female,22.411139578226546,0,0,34.78,Q,0
99,1,female,,0,0,23.75,S,0
100,2,male,35.26016901729548,0,0,33.48,S,0
101,3,male,50.31814879001642,1,1,43.93,S,1
102,3,male,39.473780254143406,1,0,36.05,S,0
103,3,female,15.563236662190466,3,0,1.8,Q,0
104,3,female,39.880515657668596,0,0,63.46,S,0
105,3,female,35.22634204880093,0,1,29.77,S,0
106,1,female,53.123839556098325,1,3,110.48,S,0
107,2,female,47.2970857286593,1,1,53.25,S,0
108,3,male,30.31983941023719,1,2,56.72,C,1
109,3,female,,3,0,79.1,S,0
110,3,male,10.01780970407252,3,0,62.84,S,1
111,2,male,15.693968761317068,0,0,52.06,S,0
112,3,male,23.09648514720905,0,0,15.41,C,1
113,3,male,19.548300678985676,0,1,13.31,C,1
114,3,male,30.907102456406967,2,0,29.65,C,0
115,1,female,34.53978620617345,0,1,62.49,C,1
116,3,male,,1,0,66.61,S,1
117,3,male,42.83392784169897,0,1,72.48,S,1
118,3,female,44.83327484609489,1,0,62.78,S,1
119,1,male,40.285398673850565,0,0,59.65,S,0
120,3,male,47.68476391589583,1,1,77.24,S,1
121,3,male,21.841008895984423,0,0,77.96,S,1
122,1,female,,0,1,73.19,S,0
123,3,male,26.569964390239825,1,1,63.44,S,1
124,3,male,19.03845582016809,1,0,81.64,C,0
125,2,female,7.300855253672115,4,1,25.56,S,0
126,1,female,,1,0,29.22,Q,1
127,3,male,23.71217281116728,0,1,59.69,C,1
128,2,male,25.695542338631405,0,0,0.0,C,0
129,3,male,21.516258385573664,0,1,20.57,C,1
130,2,female,,0,0,53.73,C,0
131,1,male,,1,0,76.74,S,0
132,3,female,31.872675124345477,0,0,39.11,S,0
133,3,male,,0,0,19.81,S,1
134,3,female,52.97339033077096,1,0,80.44,S,0
135,2,male,,0,2,81.22,Q,0
136,3,female,,1,1,66.82,S,0
137,3,male,30.660496650173833,3,0,0.0,S,0
138,3,male,33.06933157367325,0,0,59.17,C,1
139,2,male,,2,2,69.82,S,0
140,3,male,37.73462086862703,2,1,0.0,Q,0
141,1,male,53.8661336423248,1,0,88.9,C,1
142,2,male,21.852181045280542,0,0,47.49,Q,0
143,3,male,35.71088473678114,0,1,55.38,S,0
144,3,male,23.290054607831298,4,1,41.77,S,0
145,3,male,12.281881073301161,1,1,87.17,S,1
146,3,male,18.238161879014868,0,0,63.16,S,1
147,1,male,,1,1,76.97,S,1
148,2,female,,2,1,71.4,S,0
149,2,male,25.39795035346758,0,1,30.23,S,0
150,2,female,3.9205866443973463,3,3,61.02,S,0
151,2,male,55.21982885459491,0,0,38.37,S,0
152,3,male,45.48616285707927,1,0,1.75,S,1
153,2,female,32.68034252756179,0,0,82.35,S,0
154,3,male,61.852480945173866,1,1,62.22,C,1
155,3,female,44.082028232746424,0,0,85.92,Q,0
156,3,female,23.30584227466307,0,0,47.47,S,0
157,3,male,,0,0,27.3,C,1
158,3,male,,4,0,72.19,S,0
159,3,male,17.813560549251775,4,0,71.48,C,0
